District,Population_2021
Bhaktapur,432132
Chitwan,719859
Dhading,325710
Dolakha,172767
Kathmandu,2041587
Kavrepalanchok,364039
Lalitpur,551667
Makwanpur,466073
Nuwakot,263391
Ramechhap,170302
Rasuwa,46689
Sindhuli,300026
Sindhupalchok,262624
Baglung,249211
Gorkha,251027
Kaski,600051
Lamjung,155852
Manang,5658
Mustang,14452
Myagdi,107033
Nawalpur (Nawalparasi East),378079
Parbat,130887
Syangja,253024
Tanahun,321153
Dailekh,252313
Dolpa,42774
Humla,55394
Jajarkot,189360
Jumla,118349
Kalikot,145292
Mugu,64549
Salyan,238515
Surkhet,415126
West Rukum,166740
Bhojpur,157923
Dhankuta,150599
Ilam,279534
Jhapa,998054
Khotang,175298
Morang,1148156
Okhaldhunga,139552
Panchthar,172400
Sankhuwasabha,158041
Solukhumbu,104851
Sunsari,926962
Taplejung,120590
Tehrathum,88731
Udayapur,340721
Arghakhanchi,177086
Banke,603194
Bardiya,459900
Dang,674993
East Rukum,56786
Gulmi,246494
Kapilvastu,682961
Palpa,245027
Parasi (Nawalparasi West),386868
Pyuthan,232019
Rolpa,234793
Rupandehi,1121957
Bara,763137
Dhanusa,867747
Mahottari,706994
Parsa,654471
Rautahat,813573
Saptari,706255
Sarlahi,862470
Siraha,739953
Achham,228852
Baitadi,242157
Bajhang,189085
Bajura,138523
Dadeldhura,139602
Darchula,133310
Doti,204831
Kailali,904666
Kanchanpur,513757
