District,Population_2021
achham,228852
arghakhanchi,177086
baglung,249211
baitadi,242157
bajhang,189085
bajura,138523
banke,603194
bara,763137
bardiya,459900
bhaktapur,432132
bhojpur,157923
chitawan,719859
dadeldhura,139602
dailekh,252313
dang,674993
darchula,133310
dhading,325710
dhankuta,150599
dhanusa,867747
dolakha,172767
dolpa,42774
doti,204831
gorkha,251027
gulmi,246494
humla,55394
ilam,279534
jajarkot,189360
jhapa,998054
jumla,118349
kailali,904666
kalikot,145292
kanchanpur,513757
kapilbastu,682961
kaski,600051
kathmandu,2041587
kavrepalanchok,364039
khotang,175298
lalitpur,551667
lamjung,155852
mahottari,706994
makwanpur,466073
manang,5658
morang,1148156
mugu,64549
mustang,14452
myagdi,107033
nawalparasi,764947
nuwakot,263391
okhaldhunga,139552
palpa,245027
panchthar,172400
parbat,130887
parsa,654471
pyuthan,232019
ramechhap,170302
rasuwa,46689
rautahat,813573
rolpa,234793
rukum,223526
rupandehi,1121957
salyan,238515
sankhuwasabha,158041
saptari,706255
sarlahi,862470
sindhuli,300026
sindhupalchok,262624
siraha,739953
solukhumbu,104851
sunsari,926962
surkhet,415126
syangja,253024
tanahu,321153
taplejung,120590
terhathum,88731
udayapur,340721
